id	vytvoreno	text	Výběr	Koho odstřelil	Tag		problém
https://twitter.com/PREZIDENTmluvci/status/789807435443736576	Sat Oct 22 12:35:41 +0000 2016	RT @Radiozurnal1: Zásobuje média zkazkami, obviňuje @PREZIDENTmluvci ministra @DanielDherman: https://t.co/pvfi9F8W0B #28rijna #brady					
https://twitter.com/PREZIDENTmluvci/status/789789424787881985	Sat Oct 22 11:24:07 +0000 2016	Pan prezident si nesmírně váží podpory občanů a děkuje jim. Pražskou kavárnou se otrávit nenechá. Jedeme dál!	x	Pražská kavárna	prazska kavarna, opozice		2
https://twitter.com/PREZIDENTmluvci/status/789784537190502400	Sat Oct 22 11:04:41 +0000 2016	Pražská kavárna se děsí březnového rozhodnutí pana prezidenta. Jednoduché a jasné vysvětlení, proč nyní kampaň proti panu prezidentovi.	x	Pražská kavárna	prazska kavarna, opozice		2
https://twitter.com/PREZIDENTmluvci/status/789781786272403456	Sat Oct 22 10:53:45 +0000 2016	Manifestace Pražské kavárny. Halík, Herman, Horáček, Pithart, neziskovky. Budou pánové promlouvat ze stejného balkonu jako Kléma?	x	Halík, Herman, Horášek, Pithart, Neziskovky	tomas halik, herman, michal horacek, petr pithart, neziskovky, opozice		2
https://twitter.com/PREZIDENTmluvci/status/789754894290915328	Sat Oct 22 09:06:54 +0000 2016	Bez komentáře. https://t.co/08M0QbAccx	x	Daniel Herman	daniel herman, opozice, kdu-csl, jiri brady		
https://twitter.com/PREZIDENTmluvci/status/789746013774966784	Sat Oct 22 08:31:37 +0000 2016	Min. Herman by si měl přestat hrát na oběť. Dožadoval se pozornosti. Na panu prezidentovi si vyžádal setkání, které se uskutečnilo 27.9.	x	Daniel Herman	daniel herman, opozice, kdu-csl, jiri brady		2
https://twitter.com/PREZIDENTmluvci/status/789736863762358272	Sat Oct 22 07:55:15 +0000 2016	Začneme min. Hermanovi po kapkách osvěžovat paměť. Už si vzpomíná, jak horečně bránil na slovenském velv. přijímání migrantů? O tom to bylo.	x	Daniel Herman	daniel herman, opozice, kdu-csl, jiri brady, migrace		2
https://twitter.com/PREZIDENTmluvci/status/789730731304034305	Sat Oct 22 07:30:53 +0000 2016	Už to chápu. Pro min. Hermana neznamená 28. říjen nic a proto se tento státní svátek rozhodl co nejvíce pošlapat svými zkazkami.	x	Daniel Herman	daniel herman, opozice, kdu-csl, jiri brady		2
https://twitter.com/PREZIDENTmluvci/status/789571878348263427	Fri Oct 21 20:59:39 +0000 2016	2/2 Od jisté doby si prostě dávám v případě ministra Hermana raději pozor a pozorně naslouchán tomu, o čem se mluví.	x	Daniel Herman	daniel herman, opozice, kdu-csl, jiri brady		2
https://twitter.com/PREZIDENTmluvci/status/789571605827649537	Fri Oct 21 20:58:35 +0000 2016	1/2 Ministr Herman se dnes dopustil hrubé chyby. Zapomněl na to, že jsem celý rozhovor na slovenském velvyslanectví slyšel. Žádné vydírání.	x	Daniel Herman	daniel herman, opozice, kdu-csl, jiri brady		
